CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
IND-00001,Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.5,2208.31,No
IND-00002,Female,1,Yes,No,31,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,112.49,3758.58,Yes
IND-00003,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.88,1442.56,No
IND-00004,Female,0,No,No,53,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,54.3,3205.15,No
IND-00005,Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),107.57,4042.38,Yes
IND-00006,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,72.61,651.47,No
IND-00007,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,90.9,808.63,Yes
IND-00008,Female,1,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,24.22,281.09,No
IND-00009,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,85.86,1723.53,Yes
IND-00010,Female,1,No,Yes,12,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.14,1245.75,Yes
IND-00011,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),87.29,5874.91,No
IND-00012,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),114.36,554.75,Yes
IND-00013,Female,0,No,Yes,7,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,88.74,570.55,No
IND-00014,Male,0,No,Yes,15,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,51.28,732.97,No
IND-00015,Male,0,No,No,67,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,45.17,3277.15,Yes
IND-00016,Male,1,No,No,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),82.31,1518.56,No
IND-00017,Male,1,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.49,1153.21,Yes
IND-00018,Female,1,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,58.11,1535.2,No
IND-00019,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,63.09,2399.38,No
IND-00020,Male,0,Yes,No,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),79.58,4353.74,Yes
IND-00021,Female,0,No,Yes,52,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),43.06,2271.68,No
IND-00022,Male,0,Yes,No,33,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),111.83,4121.23,No
IND-00023,Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,113.27,2492.39,Yes
IND-00024,Male,0,Yes,No,17,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,79.15,1370.88,No
IND-00025,Male,0,No,No,62,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.54,5302.22,Yes
IND-00026,Female,0,No,Yes,59,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,50.41,2861.73,No
IND-00027,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,45.4,106.23,No
IND-00028,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.69,3105.43,No
IND-00029,Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,60.22,1508.12,No
IND-00030,Male,0,Yes,No,41,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,111.98,4540.48,Yes
IND-00031,Female,0,Yes,Yes,19,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,50.55,918.3,Yes
IND-00032,Male,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.54,1988.19,No
IND-00033,Male,0,No,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.26,1323.29,No
IND-00034,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,43.22,1735.21,No
IND-00035,Female,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,92.06,345.92,Yes
IND-00036,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),59.93,184.61,Yes
IND-00037,Male,0,No,No,34,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),66.34,2252.47,No
IND-00038,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),90.81,925.26,No
IND-00039,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,84.38,2243.67,No
IND-00040,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,60.05,59.72,No
IND-00041,Male,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,22.29,1005.49,Yes
IND-00042,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),108.37,5370.36,No
IND-00043,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,31.33,744.62,No
IND-00044,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,103.42,6130.08,No
IND-00045,Male,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,94.13,1042.52,Yes
IND-00046,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,102.58,7124.04,Yes
IND-00047,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,108.52,1548.33,No
IND-00048,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),24.58,1311.62,No
IND-00049,Female,1,No,No,64,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),63.34,4037.7,No
IND-00050,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.72,292.15,No
IND-00051,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),51.41,941.82,No
IND-00052,Female,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.94,994.39,No
IND-00053,Female,0,No,No,10,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.27,815.94,No
IND-00054,Female,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.97,4202.61,No
IND-00055,Female,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.29,4295.67,No
IND-00056,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),42.13,1265.28,Yes
IND-00057,Male,1,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,44.26,43.88,Yes
IND-00058,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.48,2988.99,No
IND-00059,Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,35.42,775.06,No
IND-00060,Male,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),62.81,1012.17,Yes
IND-00061,Male,0,No,No,67,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),89.74,6350.78,No
IND-00062,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,99.56,3591.11,Yes
IND-00063,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,22.28,929.77,No
IND-00064,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,24.49,479.75,No
IND-00065,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,81.78,329.49,Yes
IND-00066,Female,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,65.32,3744.01,No
IND-00067,Male,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,54.06,3652.43,No
IND-00068,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.23,1065.9,Yes
IND-00069,Male,1,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),68.64,1137.42,No
IND-00070,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,78.25,82.8,No
IND-00071,Female,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,53.29,716.69,Yes
IND-00072,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),49.42,105.81,No
IND-00073,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,113.92,455.02,No
IND-00074,Female,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),89.18,6211.04,No
IND-00075,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),52.71,2553.11,No
IND-00076,Female,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),118.9,5751.2,No
IND-00077,Female,0,No,Yes,60,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,25.35,1654.77,No
IND-00078,Male,1,Yes,No,52,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,62.55,3561.02,No
IND-00079,Male,0,No,No,48,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,117.13,5784.71,Yes
IND-00080,Male,0,Yes,Yes,39,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.08,3780.02,No
IND-00081,Female,1,Yes,Yes,70,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,64.91,4352.21,No
IND-00082,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),90.68,5023.74,No
IND-00083,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),56.66,1687.25,Yes
IND-00084,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,67.45,1763.09,No
IND-00085,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),83.93,4718.41,Yes
IND-00086,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.02,3743.54,No
IND-00087,Female,1,No,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,96.72,2217.85,No
IND-00088,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,54.44,2397.76,No
IND-00089,Female,0,No,No,67,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,40.35,2845.24,No
IND-00090,Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),45.16,2676.47,No
IND-00091,Male,0,Yes,No,52,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),109.47,5538.71,No
